run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
2832,22711,105997,-39087.7,1.23036,1.02848,1.02762,0.993637,1.01322,0.0159025,0.00244285,1
2833,912.181,2528.38,-2148.54,0.677091,1.00892,0.993401,1.01285,0.905193,-0.0524662,-0.0164506,1
2834,23382.4,-33234.3,89099.5,1.22369,0.979869,0.984128,0.963262,0.907282,0.0110379,-0.00379659,1
2835,181.095,467.466,-453.174,0.958148,0.983858,0.998599,0.987935,1.02949,0.216728,0.0195555,1
2836,1525.02,3997.77,-3045.08,1.19848,1.00242,1.00932,0.954197,0.825844,-0.231842,-0.00214912,1
2837,110165,18872.4,35367.5,0.906814,0.988266,1.00876,0.96502,1.25308,-0.00325217,0.00142093,1
2838,492.793,-1180.65,1287.13,1.29265,0.993345,1.0043,1.02468,1.13607,-0.182486,0.00852262,1
2839,2132.73,-3975.21,6004.19,0.780169,0.962197,1.01445,0.927989,1.09893,0.0872415,-0.00386064,1
2840,861.293,-1966.99,2288.18,1.03851,1.01547,1.01414,0.966802,1.16011,-0.323381,0.00274458,1
2841,562.461,-1333.09,1468.96,1.1626,0.988951,1.02925,0.955247,1.07424,-0.146998,0.0089286,1
2842,2186.21,7168.98,-4643.01,0.849442,0.984972,0.998676,1.01894,0.9531,-0.154119,-0.0021775,1
2843,6401.78,-7722.99,20093,1.19453,0.995582,0.999518,0.972825,0.65848,-0.0384028,0.00348797,1
2844,293.708,-725.3,763.074,1.05241,1.01176,0.999187,0.972109,1.01873,-0.254854,0.0105245,1
2845,344.189,-825.467,875.833,1.2198,1.03176,1.00513,1.00988,1.02369,0.29609,-0.00798187,1
2846,180.011,455.669,-441.91,1.01002,0.975645,1.00075,1.01152,1.10245,-0.219146,-0.0195713,1
2847,78916.2,-45466.8,119277,0.751288,0.986339,1.01414,0.962634,0.881082,0.0179253,-0.0011074,1
