run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
695,48272.1,nan,nan,0.836936,1.00807,1.03757,1.0575,0.989956,-0.0851277,0.000148224,50.4067,1.00356,1.47561,0.878373,0
696,50658.2,nan,nan,0.97822,1.0048,1.00421,0.978221,0.790338,0.104916,5.65666e-05,87.2863,1.1289,2.09999,0.86276,0
697,44448.6,nan,nan,1.00046,1.01937,1.01594,1.0204,1.0706,0.0257067,-0.00295383,90.3836,1.22958,2.17566,0.995026,0
698,52473.3,nan,nan,1.323,1.01396,0.998006,1.02322,1.38701,0.00148257,0.00110525,8.8477,0.952713,0.757399,1.00757,0
699,15.0801,-27.995,3.65076,1.28965,0.994992,1.01184,1.07085,1.19232,-0.0418999,0.00235379,270.22,1.3387,6.01905,0.497283,1
700,46543.6,nan,nan,0.895256,0.999528,1.01339,0.976611,0.991453,0.256359,-0.000454129,394.622,2.19842,7.67441,0.792997,0
701,45378.6,nan,nan,0.918884,0.993497,1.01638,0.982991,0.993661,-0.0407695,-0.000897864,116.327,1.23882,2.62643,0.888554,0
702,46477.5,nan,nan,0.970174,1.0027,0.998349,0.967969,1.22584,-0.136755,0.000170261,132.81,1.26575,2.96302,0.829012,0
703,44586,nan,nan,0.73508,0.981666,1.01056,0.978787,0.759091,-0.139382,0.000347569,120.8,1.24223,2.76465,0.862901,0
704,11.3608,26.5285,11.3985,1.0355,0.975997,1.00009,0.940445,1.02816,-0.288445,-0.00151401,705.231,3.3224,15.1404,1.17368,1
705,43239.7,nan,nan,1.30811,0.989517,1.00183,1.03697,1.28985,-0.0665376,-0.001566,186.592,1.47888,3.93027,0.883464,0
706,51601.6,nan,nan,1.15026,1.03491,1.01199,0.921557,0.723627,0.11664,-0.000516938,154.411,1.40997,3.32249,0.880727,0
707,44298.4,nan,nan,0.982493,1.00225,1.01527,1.03555,1.27971,0.152394,0.00142017,452.59,2.4228,8.66252,0.882824,0
708,41249.5,nan,nan,0.691326,0.993288,0.994414,1.03454,1.03268,-0.130402,-0.00150327,287.363,1.75067,5.749,0.817776,0
709,47927,nan,nan,0.829622,1.01528,0.97347,1.01433,1.0328,0.0389787,-0.000787297,21.3925,1.00721,0.974631,1.01573,0
710,47976.9,nan,nan,1.04687,0.993542,1.016,1.01948,1.16666,-0.0532701,-0.000158905,31.6601,0.961302,1.12231,0.918942,0
711,48923.1,nan,nan,0.696734,0.954092,0.999114,0.970279,1.02706,-0.130931,0.0013988,19.0986,0.832934,0.922288,0.809047,0
712,47475.9,nan,nan,0.982804,0.987455,0.996687,0.979193,1.23862,-0.0418426,0.00352711,153.003,1.37367,3.36599,0.855673,0
713,48909.9,nan,nan,0.96536,1.01044,0.987811,0.980701,0.994188,0.0422165,0.000358765,5.76703,0.792649,0.67899,0.822844,0
714,49616.5,nan,nan,1.01266,0.998566,0.989688,1.01617,1.10051,-0.0366512,0.000764132,18.3929,0.802188,0.915166,0.771756,0
715,53291.5,nan,nan,1.12315,1.02817,1.00094,0.993689,0.916088,0.131276,-0.00180735,32.0434,0.900072,1.1451,0.830528,0
716,48571.6,nan,nan,1.07398,0.996301,1.01368,0.968207,0.849423,0.125291,-0.000489398,142.158,1.3985,3.11257,0.943548,0
717,46778.9,nan,nan,1.24916,1.00845,1.00716,1.03292,1.02458,0.106583,0.000736937,168.569,1.48977,3.60146,0.946634,0
718,50245.5,nan,nan,0.807913,0.995094,0.989254,0.989439,0.819443,0.0627266,-0.0002163,24.8144,1.0399,1.02356,1.04434,0
719,49290.4,nan,nan,0.917318,1.01191,1.00586,1.00032,0.993073,-0.00898566,-0.000222393,10.4897,0.95286,0.744238,1.00883,0
720,51480.8,nan,nan,1.13504,1.02845,1.01473,0.943638,1.11048,0.0697147,0.00152364,125.715,1.30421,2.85331,0.87594,0
721,50039.6,nan,nan,0.938509,0.972651,0.996833,1.0596,0.789387,0.0769136,-0.000422769,15.8065,0.810372,0.855345,0.798148,0
722,52306.5,nan,nan,0.912281,1.03312,0.97659,0.987384,0.665053,-0.10145,0.000510238,60.2039,1.10002,1.59003,0.962578,0
723,51777.2,nan,nan,0.963594,1.01419,0.989668,1.01513,0.732299,0.231716,-0.000260901,217.393,1.72035,4.46455,0.955298,0
724,56275.4,nan,nan,1.56896,1.02912,0.989616,1.02753,1.27124,0.155859,-0.000637537,39.2298,1.0481,1.32918,0.964974,0
725,47254.1,nan,nan,1.24903,1.01706,1.0072,1.00797,1.20787,0.192177,0.000750404,408.517,2.37342,7.88469,0.942361,0
726,42789.7,nan,nan,1.10757,1.00444,1.00391,0.968641,1.06113,0.114825,0.00285914,471.751,2.50352,9.00809,0.944509,0
