run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
869,72170.8,-61044.3,17317.9,0.689512,1.01419,0.992865,0.990382,1.05603,-0.0780851,2.30671e-05,4.55581,0.780086,0.552568,0.920276,1
870,88266.4,-96361,23312.8,0.655136,1.00795,0.983274,1.03679,1.0468,-0.0884203,-0.0011715,5.66628,0.802452,0.571787,0.976345,1
871,24.5728,-42.602,24.8401,1.45303,1.00719,1.00237,0.998983,0.774769,0.0844122,0.00121261,42.8122,0.451466,1.32693,0.286024,1
872,82910.8,65722.5,-17957.1,1.0976,1.01696,0.975874,1.02135,1.13318,0.282972,0.000291848,15.3307,0.840255,0.724761,0.922212,1
873,84960.7,54085.3,-23062.2,1.09065,1.00151,0.997979,1.03198,1.17561,0.244366,-0.000147554,8.8867,0.849993,0.62807,1.0107,1
874,79708.9,29147.2,-17860.4,0.881338,0.983132,0.998611,1.05303,1.18595,0.0585564,0.00116164,5.1726,0.788939,0.576467,0.933283,1
875,91316.3,-38854.4,-10813.7,1.02312,1.0378,1.01422,1.00305,1.28257,-0.0258175,0.000533073,3.41563,0.723114,0.5299,0.874088,1
876,86763.3,-21828.6,-8582.94,0.766833,0.978379,1.00021,1.02736,1.09373,0.104082,-0.00111634,4.26086,0.796165,0.528763,0.994484,1
877,86646.2,-40242.6,11537.7,0.777821,1.02635,1.00183,0.984754,0.618318,0.0207806,-0.000422105,2.34105,0.737361,0.515259,0.9013,1
878,15.1301,-31.2724,-0.885208,1.17092,1.01526,1.01175,1.02191,1.19305,0.23739,5.96453e-05,107.234,0.950103,2.80511,0.612828,1
879,94416.4,-25495.3,4473.47,0.899641,1.01173,1.00693,0.932146,1.15019,0.0192733,0.0003265,5.30942,0.774744,0.566547,0.942674,1
880,93239.2,-96470.5,13721.6,1.06062,1.02703,1.00912,0.987051,0.682705,-0.200502,-0.000273954,5.82219,0.832708,0.558348,1.05172,1
881,87703.8,-45712.7,36139.2,1.27063,1.02076,1.01151,0.979268,1.1832,-0.130567,0.00154259,3.94019,0.81453,0.538017,1.0217,1
882,15.8382,32.0667,11.139,1.10986,1.01052,1.00195,0.965545,1.02204,-0.19134,-0.00075626,78.9842,0.968961,2.27245,0.735705,1
883,96370.6,-4316.94,-15461.9,1.24806,1.02007,0.984334,0.93513,0.959901,0.00138197,0.00106425,5.05723,0.852241,0.568805,1.08631,1
884,91181.9,30403.7,-20934.6,0.814978,1.00932,1.00361,1.03659,0.972976,0.139456,-0.00077481,5.09068,0.81908,0.561635,1.01934,1
885,77617.9,-22271,-8566.32,0.977124,1.00479,1.01159,1.02703,0.683813,-0.203929,0.00269752,7.49078,0.861096,0.613991,1.0254,1
886,40.5361,-83.4634,3.80493,1.19957,0.99586,1.00119,1.00413,1.33257,-0.00906696,0.000146922,11.3665,0.611871,0.809596,0.574538,1
887,88134,-105289,-1214.11,1.21912,1.02964,0.993488,0.956413,1.15356,0.0339723,-0.0032154,4.71359,0.884432,0.546107,1.139,1
888,94746.6,12963.1,-8744.71,1.25223,1.01908,0.984112,0.966582,1.1395,0.0613685,7.73639e-05,3.64999,0.830184,0.541487,1.06419,1
889,16.5481,42.8663,16.214,1.13173,0.988885,1.00339,0.960046,1.17829,-0.162678,0.00118752,46.1093,1.49138,1.66308,1.45971,1
890,91887,3339.84,4185.5,1.16359,0.989992,1.00332,0.983991,0.794063,-0.0294833,0.00176053,2.63737,0.759868,0.531947,0.938716,1
891,84488.4,-128150,25152.4,0.757096,1.04129,0.998859,1.00886,0.871922,-0.25068,7.33774e-05,9.4396,0.84566,0.612421,1.01405,1
892,77116.4,104881,-24886.8,0.731758,0.991882,0.988968,0.981069,0.854702,0.290122,0.0010604,13.8088,0.843512,0.708575,0.932259,1
893,88312.1,-47057.5,1603.34,1.33463,0.980951,1.00778,0.991326,0.577606,0.0379112,-0.00127999,3.28782,0.778034,0.521635,0.971822,1
894,85617.9,-6297.73,-26004.1,1.0249,1.00867,0.988373,1.02635,1.18528,0.118166,-0.00137079,3.41454,0.864872,0.542354,1.1,1
895,98020.8,-36789.5,-11287.8,1.10021,1.01665,0.995254,0.983048,0.500153,-0.00753904,0.000481022,2.4908,0.793855,0.522115,1.02186,1
896,81296.4,56992.2,-20247.5,1.22138,0.970727,1.00562,0.997611,1.23997,0.213484,0.000534198,8.32447,0.848288,0.604576,1.0173,1
897,92915.8,24532.4,-8618.28,0.935014,0.979644,1.0033,0.976736,0.992873,0.249414,-0.00155687,4.39534,0.804438,0.554023,1.00359,1
898,89453.5,-54500.5,17146.5,1.32091,1.0135,0.991426,1.04215,1.07937,-0.057944,4.79035e-05,2.84573,0.825434,0.511988,1.06506,1
899,88474.4,-42055.8,-6013.07,1.11767,0.976641,1.01395,1.0205,0.984481,0.0765487,-0.000905296,3.12187,0.762858,0.526398,0.942158,1
900,76079.1,-28993.9,-3628.61,0.574387,0.969993,1.01726,0.982694,0.886836,0.0348877,-0.000743802,2.4706,0.795023,0.524808,0.970137,1
901,76214,-83230.9,6922.62,1.09169,0.961404,0.996539,1.02283,0.956661,-0.163541,-0.000789759,7.03017,0.855555,0.574474,1.0384,1
902,79570.7,-67532.9,10984.7,0.819583,0.975191,1.00425,0.975064,1.0958,-0.0702855,-0.000371274,3.81927,0.734169,0.527211,0.874875,1
